VD-L66,188,500
KC02,12,30
VD91,310,550
VD92,310,550
VD-L67,260,650
VD93,175,400
IPMN38,275,900
IPMN39,298,900
IPMN40,356,900
IPMN41,322,900
VD-L68,196,600
VD-L69,182,600
VD-L70,387,900
VD-L71,258,900
TL83,164,200
TL84,215,400
TL85,273,550
TL86,208,400
VD-L72,137,600
VD94,78,200
VD-L73,238,650
VD95,221,600
VD96,194,550
VD-L74,310,650
VD-L75,342,600
VD97,195,500
CH03,124,350
VD-L76,212,600
PC11,212,500
VD-L77,297,600
VD98,174,500
TL87,238,275
VD99,257,550
CS117,665,1300
CS118,631,1200
CS119,825,1700
CS120,825,1600
CS121,846,1500
BL24,1013,1700
IP181,776,1300
CS122,936,1700
VD-L78,234,600
VD100,201,400
VD101,201,400
VD102,197,400
CS123,599,1200
TL88,177,350
TL89,180,350
TL90,160,350
TL91,149,350
IP182,633,1150
IP183,404,900
IPMN42,465,900
IPMN43,450,900
KC03,11,30
VD103,189,400
VD104,139,400
BL25,632,1300
IP184,585,1100
IP185,349,900
IP186,665,1200
IP187,349,900
IPMN44,500,1050
IP188,652,1200
IP189,450,1150
IP190,383,900
IP191,430,1000
IP192,417,1000
IP193,464,1000
IPMN45,181,800
IP195,464,1000
IP196,464,1000
IPMN46,250,800
IPMN47,321,850
IPMN48,297,800
VD-L79,206,600
IPMN49,307,850
IPMN50,405,950
IP197,556,1100
VD105,182,550
IP198,548,1050
IPMN51,430,950
IPMN52,498,1000
VD106,119,300
TL92,175,350
TL93,249,500
IP199,612,1150
VD-L80,227,700
VD107,160,400
VD108,160,400
VD109,136,400
CS124,807,1700
CS125,900,1700
VD110,193,400
VD111,193,400
CS126,793,1600
VD-L81,225,600
VD-L82,225,600
VD-L83,228,600
VD-L84,228,600
TL94,152,350
VD112,143,400
VD113,136,400
VD114,143,400
VD-L85,208,600
TL95,135,350
VD-L86,141,500
TL96,194,350
VD-L87,218,600
VD115,63,300
VD116,63,300
VD117,138,400
CH04,67,200
VD118,138,400
CS127,835,1400
VD-L88,277,700
CS128,959,1600
CS129,938,1700
CS130,610,1300
VD119,200,450
CS131,768,1300
IP200,559,1100
CS132,665,1300
VD-L89,315,800
IP201,483,1100
IP202,429,1000
IP203,463,1000
IP204,463,1250
VD122,144,450
VD-L90,217,600
VD-L91,146,600
VD-L92,166,600
VD-L93,217,600
TL97,242,500
TL98,145,350
TL99,262,500
VD-L94,309,800
TL100,172,350
TL101,144,350
TL102,180,350
TL103,176,350
TL104,176,350
TL106,162,350
TL107,115,350
VD120,450,120
VD121,450,120
IP205,449,1000
CS133,684,1300
VD-L95,207,600
VD-L96,207,600
TL108,196,350
VD-L97,219,600
VD123,185,400
VD-L98,162,500
TL109,166,350
TL110,212,400
VD124,182,400
CS134,869,1600
IPMN53,485,1000
